"","cost1","cost2","replicate","metadata","total_length","euclidean","sinuosity","total_cost"
"145",1,1,37,"targ0.8_cl_size5_r_size5",59.3553390593274,55.0090901579003,1.07900964893168,1588.67950776358
"146",1,2,37,"targ0.8_cl_size5_r_size5",108.953318805774,99.247166206396,1.09779778073656,6490.58082641863
"147",1,4,37,"targ0.8_cl_size5_r_size5",NA,NA,NA,NA
"148",1,8,37,"targ0.8_cl_size5_r_size5",NA,NA,NA,NA
"149",1,1,38,"targ0.8_cl_size5_r_size5",101.367532368147,95.6922149393565,1.0593080370476,6441.32437896496
"150",1,2,38,"targ0.8_cl_size5_r_size5",99.2964645562817,92.3579991121505,1.07512576615812,5892.09862328305
"151",1,4,38,"targ0.8_cl_size5_r_size5",97.0121933088198,79.1201617794099,1.22613744874908,8945.30590953299
"152",1,8,38,"targ0.8_cl_size5_r_size5",147.367532368147,99.0201999594022,1.48825726900741,26129.8898472296
"153",1,1,39,"targ0.8_cl_size5_r_size5",102.953318805774,96.7987603226405,1.06358096387412,4494.46702220297
"154",1,2,39,"targ0.8_cl_size5_r_size5",NA,NA,NA,NA
"155",1,4,39,"targ0.8_cl_size5_r_size5",NA,NA,NA,NA
"156",1,8,39,"targ0.8_cl_size5_r_size5",126.053823869162,101.316336293808,1.24416089724778,16910.1915247818
"157",1,1,40,"targ0.8_cl_size5_r_size5",101.254833995939,93.637599285757,1.08134803506587,4876.97546470558
"158",1,2,40,"targ0.8_cl_size5_r_size5",105.539105243401,96.4261375354214,1.09450723570289,6137.64167331689
"159",1,4,40,"targ0.8_cl_size5_r_size5",111.254833995939,76.4852927038918,1.45459120391492,8692.69868275377
"160",1,8,40,"targ0.8_cl_size5_r_size5",106.811183182043,85.2760224213114,1.25253477061038,16049.6695148044
